"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
685, -2.625000000000000e+00, -1.625000000000000e+00, 4.136854224475653e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.875990114474034e+03, 3.950396045789613e+03, 3.326601398742778e+02, 0.000000000000000e+00, -1.310041336027695e-01, 1.996530420271490e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.125180449004698e+00, 0.000000000000000e+00
686, -2.562500000000000e+00, -1.625000000000000e+00, 4.203128414154102e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.009572776725688e+04, 4.038291106902750e+03, 3.346996892085994e+02, 0.000000000000000e+00, -1.021336721685964e-01, 2.005686890591981e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.144842798093105e+00, 0.000000000000000e+00
687, -2.500000000000000e+00, -1.625000000000000e+00, 4.272637086532140e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.032655056333106e+04, 4.130620225332422e+03, 3.367825699426591e+02, 0.000000000000000e+00, -7.180677758411094e-02, 2.015009072200038e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.167498570377033e+00, 0.000000000000000e+00
688, -2.437500000000000e+00, -1.625000000000000e+00, 4.345586151246396e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.057024981658339e+04, 4.228099926633355e+03, 3.389434330048888e+02, 0.000000000000000e+00, -3.978809619994557e-02, 2.024649731280932e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.192693243601249e+00, 0.000000000000000e+00
689, -2.375000000000000e+00, -1.625000000000000e+00, 4.422193325343306e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.082868493673655e+04, 4.331473974694621e+03, 3.412151690327863e+02, 0.000000000000000e+00, -5.833327524085901e-03, 2.034751781468948e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.220162046174726e+00, 0.000000000000000e+00
690, -2.312500000000000e+00, -1.625000000000000e+00, 4.502675978735804e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.110374846210008e+04, 4.441499384840030e+03, 3.436285631688625e+02, 0.000000000000000e+00, 3.030618156952949e-02, 2.045446723532698e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.249827833722736e+00, 0.000000000000000e+00
691, -2.250000000000000e+00, -1.625000000000000e+00, 4.587230918420680e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.139733497875093e+04, 4.558933991500370e+03, 3.462127412328189e+02, 0.000000000000000e+00, 6.887935325503028e-02, 2.056856566263466e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.281757021456017e+00, 0.000000000000000e+00
692, -2.187500000000000e+00, -1.625000000000000e+00, 4.676015628998361e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.171131338434841e+04, 4.684525353739363e+03, 3.489956268825132e+02, 0.000000000000000e+00, 1.101317346069120e-01, 2.069095728597915e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.316078688504838e+00, 0.000000000000000e+00
693, -2.125000000000000e+00, -1.625000000000000e+00, 4.769137495567175e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.204750084561182e+04, 4.819000338244728e+03, 3.520038865500831e+02, 0.000000000000000e+00, 1.543020759759888e-01, 2.082270639764858e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.352865186623089e+00, 0.000000000000000e+00
694, -2.062500000000000e+00, -1.625000000000000e+00, 4.866654472531010e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.240763583189992e+04, 4.963054332759967e+03, 3.552620864391200e+02, 0.000000000000000e+00, 2.016187879780148e-01, 2.096475911372523e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.391985305442443e+00, 0.000000000000000e+00
